"","Gene_Name","A","B","D","E","F","G","I (first)","K","L","O","V"
"1","KHR1",-1.16498077693687,-0.783951146040534,1.49917840229031,1.6454937805545,0.491736058200399,0.538983732431545,-0.562953960120659,0.104609953209721,-1.09791956189911,-0.960748894776434,0.290552413087133
"2","YAL016W",0.656688805804266,1.87769045380562,1.27333561125461,-0.1340941407201,-0.109510214921415,-0.257013769713525,-1.14818107991585,0.0318473584210236,-1.41245828225172,-0.984288241257954,0.205983499495042
"3","YAL017W",-0.163834309345065,1.27790761289151,0.471218680211522,-0.172416106501236,-0.794596400323568,-0.725942023074207,-1.89306643631334,0.329619027134716,-0.683033037293357,1.17063514843939,1.18350784417364
"4","YAL018C",-0.741514762793497,-0.740700602750504,-0.742125382825742,-0.738258122621524,-0.736833342546286,-0.731541302266829,-0.567895133625174,1.03701785112539,1.38771728964476,1.50027491558858,1.07385859307083
"5","YAL019W",-0.724540009255609,-0.358153300029761,2.18185343696291,0.0164668183921729,-0.251118980480637,-0.230535457490421,-1.04975967250102,-0.358153300029761,-0.885091488579295,0.0946842057549943,1.56434774725643
"6","YAL020C",-0.264551116639713,-0.165904937553718,2.00431100233816,-0.609812743440693,0.327325957876254,1.41243392782219,-1.54695144475764,-0.215228027096715,-0.955074370241674,0.179356689247263,-0.165904937553718
"7","YAL021C",-0.652102320531832,-0.802093875192906,1.53600977099441,1.0066278133671,0.291962170570218,-0.228596754429978,-1.30500673493886,-0.484464700616515,-0.916793299345491,-0.0697821671417828,1.62424009726563
"8","YAL022C",-0.808671104681137,-0.750531352057003,2.25093337716392,1.2480226443976,-0.176401294893679,-0.299948269219964,-0.917683140851388,-0.147331418581612,-0.692391599432869,-0.423495243546249,0.717497401702381
"9","YAL023C",-1.76204035653105,-1.24286775148172,0.840744970116243,0.70229894210309,1.17301543734781,0.349261570669547,-1.0836548192666,0.598464421093224,-0.516026104412664,0.0169911034379779,0.923812586924136
"10","YAL024C",-1.09245734836199,-0.7534188609393,0.135615394969074,-0.173286338016039,0.565064145704475,-0.007534188609393,-1.00958127365866,0.210957281063004,-0.67807697484537,0.30136754437572,2.50135061831848
"11","YAL025C",-0.263853378353225,-0.0555311854685011,2.47081676383692,-0.420977744173059,-0.329174743918774,-0.0414076469678419,-0.837622129942506,-0.318582090043279,-0.887054514694813,-0.58339843693064,1.26678510665572
"12","YAL026C",-0.759212892710765,-0.767272922041901,-0.456386076412372,-0.523169176584642,-0.546197831816459,-0.641766751028499,-0.75230429614122,0.384159839548947,0.556874753787574,2.24026945123339,1.26500590216594
"13","YAL027W",-1.02351615481587,-0.437562668415708,1.45632270727054,0.451831016298829,-0.468953033758574,-0.636368315587193,-1.50483509007315,0.294879189584499,-0.521270309330018,1.60281107887058,0.786661579956067
"14","YAL028W",-0.377455975671206,1.08796134164053,-0.811653699319128,-0.431730691127196,-0.35031861794321,-0.323181260215215,-1.27298878069505,0.49093947162464,-0.974477845687099,1.03368662618454,1.92921943120838
"15","YAL029C",-1.4878152237883,-0.973999966270715,0.457070676889384,0.118333210822233,-0.216598216300344,-0.258464644690666,-1.2480347702801,1.11551541430081,-0.201374060522045,1.46186495825711,1.23350262158263
"16","YAL030W",-0.646237851548076,-0.359810085843617,0.239084333356614,-1.06286005620911,-0.194897129831959,-0.394528602898703,-1.06286005620911,1.67122316187891,-0.498684154063961,0.369278772313186,1.94029166905582
"17","YAL031C",-0.5416764536342,0.652695726788957,0.223258538322204,0.156158977624274,-0.353797683679996,-0.514836629355028,-1.64210924908026,0.867414321022334,-1.0247932906593,0.10247932906593,2.07520641358508
"18","YAL032C",1.10518696926413,0.847370106939869,1.39275193108734,-0.560706602677232,-0.273141640854021,-0.213645441856116,-1.2746609906521,-0.36238593935088,-1.39365338864791,-0.560706602677232,1.29359159942416
"19","YAL033W",-1.0396754498844,-1.04754094503483,2.42114241630576,0.863774376520188,-0.0328920706290801,-0.221663954239452,-0.764383119619273,0.226669269335182,-0.693593663265383,0.0929558517778348,0.195207288733453
"20","YAL034C",1.10381892688622,2.54702422323745,0.0025300368330725,-0.0610823178270371,-0.518296116946575,-0.506368800447804,-0.71310895309316,-0.462635306618979,-0.77672130775327,-0.661423914931821,0.0462635306618978
"21","YAL034W-A",-1.0541738162882,-0.77728957609789,0.23056905819484,-0.888043272174015,0.928317343474423,0.241644427802453,-1.35320879569374,1.24950306209518,-0.799440315313115,1.00584493072771,1.21627695327235
"22","YAL035W",-0.437061155458038,0.169570926582681,1.54016610446022,-0.505137074889042,-0.344780464673789,-0.158706284895713,-0.815260707852502,-0.217705415069249,-0.889387820121817,-0.608007353140336,2.26630924505759
"23","YAL036C",-0.497654014580824,0.125561935986547,2.55947287806722,-0.244998899485944,-0.180431481183919,0.00765621560893582,-0.8064547108079,-0.323602713071018,-0.885058524392974,-0.750309129675704,0.995818443535578
"24","YAL037W",-1.23396573985876,-1.22212139157041,-0.108752652465737,1.81003177024657,1.11121522123407,0.590063896546771,-0.700970066883117,0.992771738350589,-0.345639618232689,-0.203507438772518,-0.689125718594769
"25","YAL038W",-0.112409912158551,0.31842947242126,0.0412561350082486,-0.193551329587748,-0.329265735730389,-0.390301315212529,-0.584179038273443,-0.513090539817775,-0.581306775709578,-0.544685428020294,2.8891044670808
"26","YAL039C",-0.464301926641776,0.684845341796619,2.2956158719154,0.38037042451807,-0.562519641892921,-0.248222953089257,-1.15182593339979,-0.238401181564143,-1.10271707577422,-0.444658383591547,0.851815457723566
"27","YAL040C",-0.384329186957846,0.561969712324989,1.68032295693198,1.64345416864823,-0.716148281511567,-0.580962724471162,-0.384329186957846,-0.937361011214048,-0.531804340092833,-1.12170495263278,0.770892845932888
"28","YAL041W",-0.991875606964816,-0.361203255715511,0.402611036353092,0.626850094575067,-0.277113608882271,-0.438285431979315,-1.13202501835355,0.241439213256047,-0.816688842728898,0.304506448380978,2.44178497205918
"29","YAL042W",-0.0136973882007992,0.118893329582938,2.62606326585724,-0.0619121946676128,0.221349793324917,0.528719184550854,-0.947859263495313,-0.260798271343219,-0.990047219153774,-0.791161142478168,-0.429550093977066
"30","YAL043C",-0.779268454935321,-0.299371472069747,-0.282823300246796,-0.0925193242828615,-0.870283399961551,-0.919927915430403,-0.423482760741878,-0.233178784777944,0.122606909415499,2.22422473093025,1.55402377210075
"31","YAL044C",-0.778274291228398,-0.533943778166944,2.60253106767995,-0.0149101744535241,-0.0250343669836949,0.28139119359614,-1.05365232804904,0.526396652826271,-0.910563740289296,0.0856568046795052,-0.179597039610968
"32","YAL044W-A",-0.357271198888014,0.0280212705010206,1.78495493091502,-0.665505174399242,0.536607330094546,-0.110684018479032,-1.59020710093293,0.459548836216739,-1.45150181195287,0.397902041114494,0.968134895810265
"33","YAL046C",-0.632407851184941,-0.497067649569487,2.5074848262936,-0.145183125369305,-0.172251165692396,0.504449842384876,-1.0654964963544,0.125497277861603,-1.20083669796985,0.260837479477058,0.314973560123239
"34","YAL047C",-1.21293925724542,-0.666243490137021,0.190739063708583,0.988619372461386,-0.163874406848219,-0.282078897033819,-0.873101347961821,-0.0456699166626184,-0.710570173956621,0.427148044079783,2.34797100959579
"35","YAL048C",-0.595916574365737,0.00939508112738759,1.88438484326463,1.55958346714637,-0.300642596076408,0.526124543133713,-1.15693713311546,-0.403988488477673,-0.787844660253801,-1.03882754179973,0.304669059416717
"36","YAL049C",-0.352596023248302,0.0379222267566826,1.74496033473302,1.11776435745228,0.789374010857184,0.179928863122132,-1.31409929030603,0.508319209717232,-1.45610592667148,-0.751989688026128,-0.503478074386592
